retrived_at,province_id,city,state,country,pollution_aqi,pollution_main,weather_tp,weather_pr,weather_hu
5/2/2023 15:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,84,p2,34,1006,46
5/2/2023 15:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,57,p2,35,1007,49
5/2/2023 15:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,67,p2,34,1007,57
5/2/2023 15:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,69,p2,35,1007,83
5/2/2023 15:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,99,p2,38,1005,40
5/2/2023 15:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,85,p2,37,1005,36
5/2/2023 15:18:32,TH-16,Ban Mi,Lop Buri,Thailand,64,p2,38,1005,32
5/2/2023 15:19:03,TH-20,Na Kluea,Chon Buri,Thailand,68,p2,32,1007,65
5/2/2023 15:19:34,TH-21,Ban Khai,Rayong,Thailand,42,p2,32,1008,68
5/2/2023 15:20:05,TH-50,Chiang Mai,Chiang Mai,Thailand,68,p2,37,1007,30
5/2/2023 15:20:36,TH-52,Hang Chat,Lampang,Thailand,86,p2,32,1007,56
5/2/2023 16:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,84,p2,34,1005,47
5/2/2023 16:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,61,p2,34,1007,55
5/2/2023 16:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,65,p2,34,1007,60
5/2/2023 16:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,72,p2,35,1007,83
5/2/2023 16:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,99,p2,35,1005,45
5/2/2023 16:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,83,p2,36,1005,38
5/2/2023 16:18:34,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,37,1005,34
5/2/2023 16:19:05,TH-20,Na Kluea,Chon Buri,Thailand,59,p2,32,1007,63
5/2/2023 16:19:36,TH-21,Ban Khai,Rayong,Thailand,34,p2,33,1008,68
5/2/2023 16:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,65,p2,32,970,41
5/2/2023 16:20:38,TH-52,Hang Chat,Lampang,Thailand,97,p2,33,1006,46
5/2/2023 17:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,35,1006,49
5/2/2023 17:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,65,p2,33,1006,66
